Country of Residence,Country of Birth,Nationality,Regional Affiliation Country,Country,Country Code
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincentian,,Saint Vincent and the Grenadines,1783
Samoa,Samoa,Samoan,,Samoa,685
San Marino,San Marino,Sammarinese (San Marino),,San Marino,378
Sao Tome and Principe,Sao Tome and Principe,Sao Tomean,,Sao Tome and Principe,239
Saudi Arabia,Saudi Arabia,Saudi Arabian,,Saudi Arabia,966
Senegal,Senegal,Senegalese,,Senegal,221
Serbia,Serbia,Serbian,,Serbia,381
Seychelles,Seychelles,Seychellois,,Seychelles,248
Sierra Leone,Sierra Leone,Sierra Leonean,,Sierra Leone,232
Singapore,Singapore,Singaporean,,Singapore,65
Slovakia,Slovakia,Slovak,,Slovakia,421
Slovenia,Slovenia,Slovene,,Slovenia,386
Solomon Islands,Solomon Islands,Solomon Islander,,Solomon Islands,677
Somalia,Somalia,Somali,,Somalia,252
South Africa,South Africa,South African,,South Africa,27
South Sudan,South Sudan,South Sudanese,,South Sudan,211
Spain,Spain,Spanish,,Spain,34
Sri Lanka,Sri Lanka,Sri Lankan,,Sri Lanka,94
Sudan,Sudan,Sudanese,,Sudan,249
Suriname,Suriname,Surinamese,,Suriname,597
Sweden,Sweden,Swedish,,Sweden,46
Switzerland,Switzerland,Swiss,,Switzerland,41
Syrian Arab Republic,Syrian Arab Republic,Syrian,,Syria,963
Tajikistan,Tajikistan,Tajik,,Tajikistan,992
Thailand,Thailand,Thai,,Thailand,66
Timor-Leste,Timor-Leste,Timorese (East Timor),,Timor-Leste,670
Togo,Togo,Togolese,,Togo,228
Tonga,Tonga,Tongan,,Tonga,676
Trinidad and Tobago,Trinidad and Tobago,Trinidadian and Tobagonian,,Trinidad and Tobago,1867
Tunisia,Tunisia,Tunisian,,Tunisia,216
Turkey,Turkey,Turkish,,Turkey,90
Turkmenistan,Turkmenistan,Turkmen,,Turkmenistan,993
Tuvalu,Tuvalu,Tuvaluan,,Tuvalu,688
Uganda,Uganda,Ugandan,,Uganda,256
Ukraine,Ukraine,Ukrainian,,Ukraine,380
United Arab Emirates,United Arab Emirates,Emirati (United Arab Emirates),,United Arab Emirates,971
United Kingdom,United Kingdom,British,,United Kingdom,44
United Republic of Tanzania,United Republic of Tanzania,Tanzanian,,Tanzania,255
United States of America,United States of America,American,,United States,1
Uruguay,Uruguay,Uruguayan,,Uruguay,598
Uzbekistan,Uzbekistan,Uzbek,,Uzbekistan,998
Vanuatu,Vanuatu,Ni-Vanuatu,,Vanuatu,678
Venezuela,Venezuela,Venezuelan,,Venezuela,58
Viet Nam,Viet Nam,Vietnamese,,Vietnam,84
Yemen,Yemen,Yemeni,,Yemen,967
Zambia,Zambia,Zambian,,Zambia,260
Zimbabwe,Zimbabwe,Zimbabwean,,Zimbabwe,263
Holy See (Vatican City),Holy See (Vatican City),Vatican / Holy See national,,Vatican City,379
State of Palestine,State of Palestine,Palestinian,,Palestine,970
